 	rpi	profc	slp	
rdg	S: w1 = 0.05	S: w1 = 9.61	Z: w2 = 7.87	
shd	B: w1 = w2 = 0.04	S: w1 = 7.88	B: w1 = 5.89, w2 = 9.57	
bks	B: w1 = w2 = 0.3	B: w1 = 4.63, w2 = 5.01	S: w1 = 11.01	
fts	B: w1 = w2 = 0.05	B: w1 = 7.69, w2 = 5.34	B: w1 = 5.93, w2 = 7.02	
vly	Z: w2 = 0.1	B: w1 = 10.27, w2 = 4.13	
