	1	0	2	-1	-1	-1	1	-1	1
	56	3	6	-1	52	32	2	-1	3
	52	7	16	56	12	16	2	-1	2
	44	17	18	48	20	24	2	-1	2
	36	19	32	-1	-1	-1	1	-1	1
	32	33	34	56	-1	-1	1	-1	1
	28	35	37	48	-1	-1	1	-1	1
	24	38	39	44	-1	-1	1	-1	1
	20	40	46	44	-1	-1	1	-1	1
	16	47	62	52	-1	-1	1	-1	1
	12	63	67	52	-1	-1	1	-1	1
	8	68	79	-1	-1	-1	1	-1	1
	4	80	87	-1	-1	-1	1	-1	1
	0	88	91	-1	-1	-1	1	-1	1
	117	92	111	121	109	113	3	-1	8
	113	112	126	117	105	29	2	-1	4
	109	127	130	117	48	17	2	-1	4
	105	131	135	113	101	5	2	-1	3
	101	136	138	105	9	40	2	-1	2
	97	139	142	121	93	89	3	-1	5
	93	143	144	97	14	65	2	-1	2
	14	145	158	93	-1	-1	1	-1	1
	48	159	179	109	44	28	2	-1	3
	40	180	185	101	-1	-1	1	-1	1
	89	186	200	97	85	53	2	-1	3
	85	201	202	89	49	45	2	-1	2
	77	203	204	81	73	21	2	-1	3
	73	205	208	77	13	25	2	-1	2
	65	209	210	93	-1	-1	1	-1	1
	61	211	212	69	-1	-1	1	-1	1
	57	213	214	69	-1	-1	1	-1	1
	53	215	218	89	-1	-1	1	-1	1
	49	219	225	85	-1	-1	1	-1	1
	45	226	239	85	-1	-1	1	-1	1
	41	240	241	-1	-1	-1	1	-1	1
	37	242	248	-1	-1	-1	1	-1	1
	33	249	255	81	-1	-1	1	-1	1
	29	256	257	113	-1	-1	1	-1	1
	25	258	259	73	-1	-1	1	-1	1
	21	260	266	77	-1	-1	1	-1	1
	17	267	270	109	-1	-1	1	-1	1
	13	271	277	73	-1	-1	1	-1	1
	9	278	280	101	-1	-1	1	-1	1
	5	281	288	105	-1	-1	1	-1	1
	58	289	311	-1	54	18	4	1	20
	54	312	328	58	121	50	4	-1	19
	121	329	349	54	117	97	4	-1	13
	50	350	352	54	69	81	3	-1	6
	81	353	372	50	77	33	2	-1	4
	69	373	388	50	61	57	2	-1	2
	42	389	391	46	38	30	2	-1	4
	38	392	409	42	34	2	2	-1	3
	34	410	411	38	10	6	2	-1	2
	30	412	413	42	-1	-1	1	-1	1
	26	414	428	46	-1	-1	1	-1	1
	18	429	442	58	-1	-1	1	-1	1
	10	443	450	34	-1	-1	1	-1	1
	6	451	457	34	-1	-1	1	-1	1
	2	458	473	38	-1	-1	1	-1	1
	115	474	475	-1	111	51	3	-1	18
	111	476	487	115	107	43	3	-1	17
	107	488	499	111	103	71	3	-1	16
	103	500	506	107	99	7	3	-1	14
	99	507	510	103	95	83	3	-1	13
	95	511	545	99	91	55	3	-1	9
	91	546	558	95	87	31	3	-1	8
	87	559	568	91	46	67	3	-1	7
	83	569	580	99	79	23	2	-1	4
	79	581	582	83	75	15	2	-1	3
	75	583	584	79	22	11	2	-1	2
	46	585	597	87	42	26	2	-1	5
	22	598	611	75	-1	-1	1	-1	1
	71	612	614	107	27	3	2	-1	2
	67	615	624	87	39	35	2	-1	2
	63	625	626	-1	-1	-1	1	-1	1
	59	627	629	-1	-1	-1	1	-1	1
	55	630	643	95	-1	-1	1	-1	1
	51	644	651	115	-1	-1	1	-1	1
	47	652	658	-1	-1	-1	1	-1	1
	43	659	663	111	-1	-1	1	-1	1
	39	664	665	67	-1	-1	1	-1	1
	35	666	670	67	-1	-1	1	-1	1
	31	671	676	91	-1	-1	1	-1	1
	27	677	682	71	-1	-1	1	-1	1
	23	683	685	83	-1	-1	1	-1	1
	19	686	689	-1	-1	-1	1	-1	1
	15	690	691	79	-1	-1	1	-1	1
	11	692	702	75	-1	-1	1	-1	1
	7	703	712	103	-1	-1	1	-1	1
	3	713	720	71	-1	-1	1	-1	1
